id,text,letter_sound_correspondences,usage_count,word_type,spelling_consistency,root_word_id,root_word_text
1,zero,"[{""sounds"":[""z""],""id"":74,""letters"":[""z""],""usageCount"":0},{""sounds"":[""iː""],""id"":9,""letters"":[""e""],""usageCount"":114},{""sounds"":[""r""],""id"":1,""letters"":[""r""],""usageCount"":95},{""sounds"":[""o"",""ʊ""],""id"":23,""letters"":[""o""],""usageCount"":14}]",0,NUMBER,,,
2,one,"[{""sounds"":[""w"",""ʌ""],""id"":40,""letters"":[""o""],""usageCount"":17},{""sounds"":[""n""],""id"":41,""letters"":[""n"",""e""],""usageCount"":17}]",17,NUMBER,HIGHLY_NON_PHONEMIC,,
3,two,"[{""sounds"":[""t""],""id"":77,""letters"":[""t"",""w""],""usageCount"":0},{""sounds"":[""u""],""id"":27,""letters"":[""o""],""usageCount"":140}]",0,NUMBER,,,
4,three,"[{""sounds"":[""θ""],""id"":6,""letters"":[""t"",""h""],""usageCount"":2875},{""sounds"":[""r""],""id"":1,""letters"":[""r""],""usageCount"":95},{""sounds"":[""i""],""id"":78,""letters"":[""e"",""e""],""usageCount"":0}]",0,NUMBER,,,
5,four,"[{""sounds"":[""f""],""id"":33,""letters"":[""f""],""usageCount"":65},{""sounds"":[""ɔ""],""id"":79,""letters"":[""o"",""u""],""usageCount"":0},{""sounds"":[""r""],""id"":1,""letters"":[""r""],""usageCount"":95}]",0,NUMBER,,,
6,five,"[{""sounds"":[""f""],""id"":33,""letters"":[""f""],""usageCount"":65},{""sounds"":[""a"",""ɪ""],""id"":80,""letters"":[""i""],""usageCount"":7},{""sounds"":[""v""],""id"":81,""letters"":[""v"",""e""],""usageCount"":3}]",2,NUMBER,,,
7,six,"[{""sounds"":[""s""],""id"":17,""letters"":[""s""],""usageCount"":68},{""sounds"":[""ɪ""],""id"":8,""letters"":[""i""],""usageCount"":243},{""sounds"":[""k"",""s""],""id"":60,""letters"":[""x""],""usageCount"":0}]",0,NUMBER,,,
8,seven,"[{""sounds"":[""ˈ"",""s""],""id"":82,""letters"":[""s""],""usageCount"":1},{""sounds"":[""ɛː""],""id"":55,""letters"":[""e""],""usageCount"":4},{""sounds"":[""v""],""id"":14,""letters"":[""v""],""usageCount"":11},{""sounds"":[""ə""],""id"":26,""letters"":[""e""],""usageCount"":244},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":154}]",1,NUMBER,,,
9,eight,"[{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":35},{""sounds"":[""ɪ""],""id"":8,""letters"":[""i""],""usageCount"":243},{""sounds"":[""t""],""id"":83,""letters"":[""g"",""h"",""t""],""usageCount"":0}]",0,NUMBER,,,
10,nine,"[{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":154},{""sounds"":[""a"",""ɪ""],""id"":80,""letters"":[""i""],""usageCount"":7},{""sounds"":[""n""],""id"":41,""letters"":[""n"",""e""],""usageCount"":17}]",0,NUMBER,,,
21,a,"[{""sounds"":[""ə""],""id"":28,""letters"":[""a""],""usageCount"":81}]",68,,HIGHLY_NON_PHONEMIC,,
22,and,"[{""sounds"":[""æ""],""id"":2,""letters"":[""a""],""usageCount"":158},{""sounds"":[""n""],""id"":12,""letters"":[""n""],""usageCount"":154},{""sounds"":[""d""],""id"":21,""letters"":[""d""],""usageCount"":138}]",79,,PERFECT,,
23,away,"[{""sounds"":[""ə""],""id"":28,""letters"":[""a""],""usageCount"":81},{""sounds"":[""w""],""id"":11,""letters"":[""w""],""usageCount"":79},{""sounds"":[""ɛ""],""id"":7,""letters"":[""e""],""usageCount"":35},{""sounds"":[""ɪ""],""id"":8,""letters"":[""i""],""usageCount"":243}]",6,,,,
24,big,"[{""sounds"":[""b""],""id"":3,""letters"":[""b""],""usageCount"":71},{""sounds"":[""ɪ""],""id"":8,""letters"":[""i""],""usageCount"":243},{""sounds"":[""g""],""id"":18,""letters"":[""g""],""usageCount"":19}]",5,ADJECTIVE,,,
